[2026-03-22T15:02:13.042Z] GET http://localhost:5175/ → 200 (8ms, 467B)
[2026-03-22T15:02:13.060Z] GET http://localhost:5175/assets/index-iIsGgm6Z.js → 200 (11ms, 636599B)
[2026-03-22T15:02:13.060Z] GET http://localhost:5175/assets/index-BznTxc_I.css → 200 (?ms, 15232B)
[2026-03-22T15:02:13.147Z] GET http://localhost:5175/api/questions/review → 200 (10ms, 2B)
[2026-03-22T15:02:38.277Z] GET http://localhost:5175/interview → 200 (1ms, 467B)
[2026-03-22T15:02:38.281Z] GET http://localhost:5175/assets/index-iIsGgm6Z.js → 304 (1ms, ?B)
[2026-03-22T15:02:38.282Z] GET http://localhost:5175/assets/index-BznTxc_I.css → 304 (?ms, ?B)
[2026-03-22T15:02:38.286Z] GET http://localhost:5175/api/questions/parts → 200 (33ms, 50B)
[2026-03-22T15:02:50.045Z] GET http://localhost:5175/api/questions/?part=01-network → 200 (1ms, 9701B)
[2026-03-22T15:03:43.415Z] GET http://localhost:5175/quiz → 200 (2ms, 467B)
[2026-03-22T15:03:43.419Z] GET http://localhost:5175/assets/index-iIsGgm6Z.js → 304 (1ms, ?B)
[2026-03-22T15:03:43.419Z] GET http://localhost:5175/assets/index-BznTxc_I.css → 304 (1ms, ?B)
[2026-03-22T15:03:43.425Z] GET http://localhost:5175/api/questions/parts → 200 (33ms, 50B)
[2026-03-22T15:03:50.477Z] GET http://localhost:5175/mock → 200 (1ms, 467B)
[2026-03-22T15:03:50.481Z] GET http://localhost:5175/assets/index-iIsGgm6Z.js → 200 (?ms, 636599B)
[2026-03-22T15:03:50.481Z] GET http://localhost:5175/assets/index-BznTxc_I.css → 200 (?ms, 15232B)
[2026-03-22T15:03:57.491Z] GET http://localhost:5175/api/questions/mock → 200 (33ms, 941B)
[2026-03-22T15:04:09.537Z] GET http://localhost:5175/api/questions/mock → 200 (32ms, 925B)
[2026-03-22T15:04:16.820Z] GET http://localhost:5175/mock → 200 (2ms, 467B)
[2026-03-22T15:04:16.825Z] GET http://localhost:5175/assets/index-iIsGgm6Z.js → 304 (?ms, ?B)
[2026-03-22T15:04:16.825Z] GET http://localhost:5175/assets/index-BznTxc_I.css → 304 (?ms, ?B)
[2026-03-22T15:04:24.222Z] GET http://localhost:5175/api/questions/mock → pending (?ms, ?B)
[2026-03-22T15:05:04.906Z] GET http://localhost:5175/history → 200 (1ms, 467B)
[2026-03-22T15:05:04.910Z] GET http://localhost:5175/assets/index-iIsGgm6Z.js → 304 (?ms, ?B)
[2026-03-22T15:05:04.910Z] GET http://localhost:5175/assets/index-BznTxc_I.css → 304 (?ms, ?B)
[2026-03-22T15:05:04.915Z] GET http://localhost:5175/api/history/ → 200 (16ms, 2B)
[2026-03-22T15:05:04.915Z] GET http://localhost:5175/api/stats/ → 200 (16ms, 23B)
[2026-03-22T15:05:11.611Z] GET http://localhost:5175/weak-topics → 200 (1ms, 467B)
[2026-03-22T15:05:11.615Z] GET http://localhost:5175/assets/index-iIsGgm6Z.js → 200 (?ms, 636599B)
[2026-03-22T15:05:11.615Z] GET http://localhost:5175/assets/index-BznTxc_I.css → 200 (?ms, 15232B)
[2026-03-22T15:05:31.941Z] GET http://localhost:5175/api/weak-topics/ → 404 (4ms, 22B)
[2026-03-22T15:05:48.373Z] GET http://localhost:5175/api/notes/ → 200 (10ms, 2B)
[2026-03-22T15:06:05.095Z] GET http://localhost:5175/notes → 200 (1ms, 467B)
[2026-03-22T15:06:05.099Z] GET http://localhost:5175/assets/index-iIsGgm6Z.js → 304 (?ms, ?B)
[2026-03-22T15:06:05.099Z] GET http://localhost:5175/assets/index-BznTxc_I.css → 304 (1ms, ?B)
[2026-03-22T15:06:05.103Z] GET http://localhost:5175/api/notes/ → 200 (7ms, 2B)
[2026-03-22T15:06:23.652Z] GET http://localhost:5175/notes → 200 (?ms, 467B)
[2026-03-22T15:06:23.655Z] GET http://localhost:5175/assets/index-iIsGgm6Z.js → 200 (?ms, 636599B)
[2026-03-22T15:06:23.655Z] GET http://localhost:5175/assets/index-BznTxc_I.css → 200 (?ms, 15232B)
[2026-03-22T15:06:23.673Z] GET http://localhost:5175/api/notes/ → 200 (3ms, 2B)
[2026-03-22T15:06:40.363Z] GET http://localhost:5175/ → 200 (1ms, 467B)
[2026-03-22T15:06:40.367Z] GET http://localhost:5175/assets/index-iIsGgm6Z.js → 304 (1ms, ?B)
[2026-03-22T15:06:40.367Z] GET http://localhost:5175/assets/index-BznTxc_I.css → 304 (?ms, ?B)
[2026-03-22T15:06:40.372Z] GET http://localhost:5175/api/questions/review → 200 (6ms, 2B)
